song_links,song_len_seconds,song_len_mins,song_name
https://www.youtube.com/watch?v=eW7UTxO0IQI,360,6.0,Alex G - pretend (Lyrics)
https://www.youtube.com/watch?v=2pcQrGJBljk,243,4.05,Ryder (Official Lyric Video)
https://www.youtube.com/watch?v=9NOlqJHvAZo,170,2.8333333333333335,Run Your Mouth
https://www.youtube.com/watch?v=mkjp4h3diOU,252,4.2,Down Here Waiting
https://www.youtube.com/watch?v=XGGr-Z4JrSc,200,3.3333333333333335,Envy the Leaves (Official Lyric Video)
https://www.youtube.com/watch?v=TBj5DWPJwfk,197,3.283333333333333,WHAT LOVE? (Official Music Video)
https://www.youtube.com/watch?v=IrXa2AmmrKE,264,4.4,Good Time Locomotive - Devils and Angels (Official Video)
https://www.youtube.com/watch?v=MhQht-YK8rw,223,3.716666666666667,alife (Official Video)
https://www.youtube.com/watch?v=ppIap1BNV0Y,199,3.316666666666667,Subliminal
https://www.youtube.com/watch?v=uwk2IacAv14,174,2.9,backseat
https://www.youtube.com/watch?v=d8T5dMi4qr8,315,5.25,Crushing (Official Music Video)
https://www.youtube.com/watch?v=GFUUUUxUFxI,171,2.85,Sure Enough
https://www.youtube.com/watch?v=b9frfooOmpE,214,3.566666666666667,Skin (Official Video)
https://www.youtube.com/watch?v=mfH-UoqPUB0,232,3.8666666666666667,The Dark Prince (Official Video)
https://www.youtube.com/watch?v=RPwBrc1rbRI,214,3.566666666666667,Famous Last Words (An Ode to Eaters)
https://www.youtube.com/watch?v=eHltFMsiC5k,219,3.65,Slow
https://www.youtube.com/watch?v=CNUgemJBLTw,303,5.05,Who Would You Be For Me
https://www.youtube.com/watch?v=LTptGqn53VE,270,4.5,Staring at the Wall
https://www.youtube.com/watch?v=fIRRHU_D8CE,292,4.866666666666666,Dancing In Babylon (feat. Christine and the Queens) [Official...
https://www.youtube.com/watch?v=8lCmyFCj580,257,4.283333333333333,Capricorn (Official Video)
https://www.youtube.com/watch?v=csILUDfmtqM,230,3.8333333333333335,Hold Me Up (Thank You) [Official Video]
https://www.youtube.com/watch?v=y6qigQlIFB4,282,4.7,Changes
https://www.youtube.com/watch?v=W831YzT87dM,252,4.2,Wish Me Away (Official Video)
https://www.youtube.com/watch?v=Vbppp0j7f5w,172,2.8666666666666667,How Can I Love Her More? (Official Video)
https://www.youtube.com/watch?v=vGhsf8l9k9g,227,3.783333333333333,I Know You Know (Official Video)
https://www.youtube.com/watch?v=pfneXH-av64,199,3.316666666666667,Cultural Consumer III (Official Video)
https://www.youtube.com/watch?v=nm7qK328zpM,305,5.083333333333333,If There’s No God… (Official Music Video)
https://www.youtube.com/watch?v=matTCOxSJiM,196,3.2666666666666666,Come Up For Air (Official Video)
https://www.youtube.com/watch?v=_-pddFwqWYc,188,3.1333333333333333,Cry at the Moon (Official Video)
https://www.youtube.com/watch?v=6LTfbtnjclw,163,2.716666666666667,Letter To My Daughter (Official Video)
https://www.youtube.com/watch?v=JBVr0GgDfi4,195,3.25,House (Official Video)
https://www.youtube.com/watch?v=TmprkeDugAA,239,3.9833333333333334,A Dream Is All I Know (Official Video)
https://www.youtube.com/watch?v=ouiShfm5EEs,248,4.133333333333334,Why (Sidereal Session)
https://www.youtube.com/watch?v=dpIwe07oJwg,217,3.6166666666666667,You Make Me Feel So Dumb
https://www.youtube.com/watch?v=Xg618pb_hwQ,245,4.083333333333333,Hammer (Official Video)
https://www.youtube.com/watch?v=l7FgHi0Emc0,236,3.933333333333333,Big Machine (Official Music Video)
https://www.youtube.com/watch?v=9orR4DdFarg,179,2.9833333333333334,You've Fallen In Love Again
https://www.youtube.com/watch?v=gT_YGeERxWc,192,3.2,Coffee
https://www.youtube.com/watch?v=7BafBRsj_z0,192,3.2,She Plays The Theremin
https://www.youtube.com/watch?v=1D0g4yXUOsY,269,4.483333333333333,In Denial (Official Music Video)
https://www.youtube.com/watch?v=FeVCbg716ZA,159,2.65,Basement (Official Video)
https://www.youtube.com/watch?v=0iEsiEwSg38,192,3.2,Shangaladang (Official Video)
https://www.youtube.com/watch?v=5I7zefEoqGE,175,2.9166666666666665,R&B
https://www.youtube.com/watch?v=2HOZqHFSV2E,177,2.95,Mulholland's Dinner and Wine (Live) | Vevo Studio Performance
https://www.youtube.com/watch?v=RAMO6HHfsdM,326,5.433333333333334,The Dream of Delphi (Official Video)
https://www.youtube.com/watch?v=wMJyD23nKrk,209,3.4833333333333334,Mustang (Official Music Video)
https://www.youtube.com/watch?v=zAG1jyqzwM8,143,2.3833333333333333,LOS NARCOS (Official Video)
https://www.youtube.com/watch?v=wqcYU_eoihU,264,4.4,Caesar on a TV Screen
https://www.youtube.com/watch?v=WHDjBjnuZ1s,210,3.5,Never Need Me
https://www.youtube.com/watch?v=pM9nj3Pddrc,303,5.05,Care (Official Video)
https://www.youtube.com/watch?v=7bz43KrYHqM,192,3.2,CD Wallet (Official Video)
https://www.youtube.com/watch?v=4JcnxfF6tss,212,3.533333333333333,They Don't Know How To Fall In Place (Official Video)
https://www.youtube.com/watch?v=kmpyfDF_pes,246,4.1,Tiny Moves (Official)
https://www.youtube.com/watch?v=aBuLJwdMu5o,251,4.183333333333334,Freedom (Official Video)
https://www.youtube.com/watch?v=TtqETmD-kEU,195,3.25,Wish You Were Dead
https://www.youtube.com/watch?v=2e4oRKhilhA,296,4.933333333333334,A Love International (Official Video)
https://www.youtube.com/watch?v=cccB8ULwmeI,231,3.85,The Thief
https://www.youtube.com/watch?v=jKa8C4E9mIU,212,3.533333333333333,Home For The Moment (Official Video)
https://www.youtube.com/watch?v=kLIGbE3H2OQ,227,3.783333333333333,The Secret To Life
https://www.youtube.com/watch?v=6TNFNgtJlG8,283,4.716666666666667,The Window (Official Music Video)
https://www.youtube.com/watch?v=AbqtpUHnXrc,302,5.033333333333333,When We Die (Can We Still Get High?)
https://www.youtube.com/watch?v=nuO9TZZjOtg,250,4.166666666666667,Bleach
https://www.youtube.com/watch?v=0I9BNvcVhkU,258,4.3,Mi Corazón [Official Music Video]
https://www.youtube.com/watch?v=Tt1fYdnukyg,126,2.1,Radio (Official Video)
https://www.youtube.com/watch?v=rgT5G-itHYU,206,3.433333333333333,Turn The World On (Live Performance) | Vevo Studio Performance
https://www.youtube.com/watch?v=jAXXp32GOa0,183,3.05,my mind (now) [Official Video]
https://www.youtube.com/watch?v=XpnTcN1D2RM,215,3.5833333333333335,Do You See Me Different? ft. Kamal. (Official Music Video)
https://www.youtube.com/watch?v=3bkP2bWyVps,217,3.6166666666666667,Running (Official Video)
https://www.youtube.com/watch?v=PrCAKDHGRDU,190,3.1666666666666665,Poolside (Official Video)
https://www.youtube.com/watch?v=yxWldCmiGaI,270,4.5,Ghost Me (Live) | Vevo Studio Performance
https://www.youtube.com/watch?v=jgk207r5XxI,202,3.3666666666666667,Girls That Play (Official Video)
https://www.youtube.com/watch?v=7TF91Zk8L5w,253,4.216666666666667,The Conflict Of The Mind
https://www.youtube.com/watch?v=bbhsXCyXaR4,226,3.7666666666666666,My Only Love (Official Video)
https://www.youtube.com/watch?v=KchA6d7HTvg,122,2.033333333333333,Goldilocks (Official Video)
https://www.youtube.com/watch?v=ncS6WWSWguI,226,3.7666666666666666,Discount De Kooning (Last One Standing)
https://www.youtube.com/watch?v=ezm7V-9J670,184,3.066666666666667,Start You Up (Official Video)
https://www.youtube.com/watch?v=q-sa91yjRUY,217,3.6166666666666667,I Want You To Know Me - (Official Music Video)
https://www.youtube.com/watch?v=UwgWo9dn3LY,231,3.85,Alma Mater (Official Music Video)
https://www.youtube.com/watch?v=eReELbrLF7k,226,3.7666666666666666,The Pain
https://www.youtube.com/watch?v=QPSDjx8Do3s,194,3.2333333333333334,Lego Ring (feat. Lil Yachty) [Official Video]
https://www.youtube.com/watch?v=vx4kLgnFexo,170,2.8333333333333335,My Love Mine All Mine (Official Video)
https://www.youtube.com/watch?v=icUFoSASWzQ,241,4.016666666666667,All We Ever Do Is Talk (Live Performance) | Vevo
https://www.youtube.com/watch?v=KPCzMoANomA,177,2.95,Lunar Eclipse
https://www.youtube.com/watch?v=v1Vj5lKxddI,225,3.75,I Love My Television (Official Visualiser)
https://www.youtube.com/watch?v=3Z5_Hq8uvio,275,4.583333333333333,Night Of The Hunter
https://www.youtube.com/watch?v=jnylB5ylyw4,198,3.3,My Golden Years (Official Video)
https://www.youtube.com/watch?v=3m1Mtrst3aw,220,3.6666666666666665,Changes (Official Video)
https://www.youtube.com/watch?v=DEdzwXzlizU,171,2.85,Easy Fun (Official Video)
https://www.youtube.com/watch?v=x6wvBt6XAVU,184,3.066666666666667,A Million Other Suns (Official Video)
https://www.youtube.com/watch?v=vvPCm8cD6kw,230,3.8333333333333335,Bend
https://www.youtube.com/watch?v=DZoiwHNSIOM,146,2.433333333333333,Leaving? (From The Porch)
https://www.youtube.com/watch?v=o5pjb9UrHas,162,2.7,Constant Surprises (Official Video)
https://www.youtube.com/watch?v=TjWPFIGxUeU,314,5.233333333333333,Slow Days (Official Video)
https://www.youtube.com/watch?v=l81HZfkLwpk,232,3.8666666666666667,Cold Reactor
https://www.youtube.com/watch?v=TE2bAWO8lg8,221,3.683333333333333,Jasmine (Official Video)
https://www.youtube.com/watch?v=hgTOXSZN7g8,209,3.4833333333333334,Crazy Again
https://www.youtube.com/watch?v=lNrRJD_e4Yw,292,4.866666666666666,Amoralí
https://www.youtube.com/watch?v=1xdnH44vIrQ,324,5.4,Almoraima
https://www.youtube.com/watch?v=-JMBy0g6wDk,209,3.4833333333333334,Malagueña
https://www.youtube.com/watch?v=sNAX046nUl4,348,5.8,Cepa Andaluza
https://www.youtube.com/watch?v=XuS9B_JdURo,362,6.033333333333333,Entre Dos Aguas
https://www.youtube.com/watch?v=db5IJWXGkC4,331,5.516666666666667,Volar (Bulería)
https://www.youtube.com/watch?v=0enXx-4QiYM,183,3.05,Jerezana
https://www.youtube.com/watch?v=hVdykSfqlPI,263,4.383333333333334,Cositas Buenas (Tangos)
https://www.youtube.com/watch?v=izhw7QnXn2I,388,6.466666666666667,Antonia (Bulería Por Soleá)
https://www.youtube.com/watch?v=b-M4oRrd0C4,181,3.0166666666666666,ARTE Y MAJESTAD ***** CAMARON DE LA ISLA
https://www.youtube.com/watch?v=0rBDJN9BRPo,252,4.2,Que Venga El Alba (Bulería)
https://www.youtube.com/watch?v=UYCVoqBR9z0,220,3.6666666666666665,Como El Agua (Tangos)
https://www.youtube.com/watch?v=v1EdXPpIHgw,260,4.333333333333333,Almoraima (Bulerías)
https://www.youtube.com/watch?v=P4lrg-aMAxw,213,3.55,La Plazuela
https://www.youtube.com/watch?v=9KgQAIBUlc0,285,4.75,Patio Custodio (Bulería)
